BatCoin;2023-09-23 14:23:10;NOK;-44839.6694
ArmstrongCoin;2023-09-23 14:31:44;DOT;363.4888
CurrencyClimb;2023-09-23 14:34:41;ETC;42.1452
Capitsio;2023-09-23 14:43:51;XLM;73498.1468
CryptoMask;2023-09-23 14:48:53;SEK;92979.5260
_CoinLaundry_;2023-09-23 14:50:22;AXS;-477.7486
SavingsScrunch;2023-09-23 14:51:41;AUD;12271.5737
CryptoClamp;2023-09-23 14:52:14;USD;-2785.2366
LiabilityLedger;2023-09-23 14:59:41;HNT;-989.6244
CryForCrypto;2023-09-23 15:04:44;SEK;86060.7547
ArrangeExchange;2023-09-23 15:06:41;XRP;13112.6164
CapitalCart;2023-09-23 15:10:03;FLR;194520.0737
BumbleBee;2023-09-23 15:12:01;PLN;8917.6249
ChainBucks;2023-09-23 15:15:50;XTZ;5228.9178
LavaLedger;2023-09-23 15:24:17;JPY;-521689.3740
SavingsScrunch;2023-09-23 15:26:52;QNT;97.9915
Capitsio;2023-09-23 15:27:50;FLR;302941.3380
CurrencyN;2023-09-23 15:31:19;INR;-357036.0637
CryptoFetch;2023-09-23 15:34:44;CAD;9750.2947
LaundryDepot;2023-09-23 15:38:40;MNT;4674.7642
Block__HODL;2023-09-23 15:39:07;USD;1767.1119
GoldSurge;2023-09-23 15:42:10;BCH;5.1038
SilvaLedger;2023-09-23 15:43:14;SGD;7516.5036
Crazy4Crypto;2023-09-23 15:43:34;MNT;-11952.8267
BlockchainBishop;2023-09-23 15:52:30;CAD;12323.1930
CryptoChill;2023-09-23 15:56:48;BTT;-4566318097.5350
Expressexchange;2023-09-23 16:03:04;AUD;-2159.3657
Capitsio;2023-09-23 16:12:24;TIA;108.3850
CryptexCapital;2023-09-23 16:16:22;MKR;1.8161
CoinCellar;2023-09-23 16:23:47;FTM;19797.7814
BonzaiCrypto;2023-09-23 16:29:20;STX;2398.2364
ShrewdCrypto;2023-09-23 16:35:05;TWD;-145905.9795
ModeLedger;2023-09-23 16:39:38;CAD;-4325.6802
Capitsio;2023-09-23 16:45:14;CAD;1154.7563
Gemini;2023-09-23 16:46:44;JPY;590846.1332
_CoinLaundry_;2023-09-23 16:49:37;CZK;-197475.6933
BatCoin;2023-09-23 16:58:13;JPY;1030182.6627
Coldwalletbea;2023-09-23 17:02:04;DKK;56389.4485
DigiBronze;2023-09-23 17:10:52;BNB;16.8615
CryptoAbsolute;2023-09-23 17:15:25;MNT;6737.7143
CryptoCreed;2023-09-23 17:24:47;KAS;2010.0927
ChainBucks;2023-09-23 17:29:48;CZK;7162.0134
CryptoCreed;2023-09-23 17:33:05;CNY;36487.0715
E-CoinAgency;2023-09-23 17:36:59;BSV;-28.0261
CoinCellar;2023-09-23 17:39:00;PLN;-9961.7927
CryptoMask;2023-09-23 17:39:34;PLN;24142.4991
CryptoCreed;2023-09-23 17:43:31;MXN;17891.8089
RentonCoin;2023-09-23 17:43:51;DAI;2105.0611
CryForCrypto;2023-09-23 17:52:49;XRP;15583.0992
RentonCoin;2023-09-23 17:55:58;DYM;-803.4297
CurrentExchange;2023-09-23 17:57:15;JPY;557713.2849
Crazy4Crypto;2023-09-23 18:06:33;FIL;-119.0230
SatoshiLadies;2023-09-23 18:16:15;XLM;38934.0953
RentonCoin;2023-09-23 18:17:53;AUD;-3287.2124
COINTRAL;2023-09-23 18:18:13;HKD;55192.0183
LiabilityLedger;2023-09-23 18:18:24;MXN;-21592.5001
ExpeditedExchange;2023-09-23 18:25:42;FTM;-3240.2207
Coldwalletbea;2023-09-23 18:32:58;VET;-145169.4866
CentSecurity;2023-09-23 18:33:31;LTC;-20.8254
SecureSilvers;2023-09-23 18:37:00;BTC;-0.0313
SatoshiStaff;2023-09-23 18:45:07;CHZ;69219.0219
BandsofBits*;2023-09-23 18:53:25;NZD;10258.7359
E-CashPros;2023-09-23 18:53:46;OKB;145.5079
SatoshiStaff;2023-09-23 18:56:49;GRT;56219.1699
SatoshiStaff;2023-09-23 19:02:40;XLM;64208.6213
SatoshiStaff;2023-09-23 19:07:20;INJ;-146.6163
Altcoinist;2023-09-23 19:09:54;HKD;62438.1747
CryptoProlific;2023-09-23 19:15:53;LTC;-68.9455
CryptoChill;2023-09-23 19:20:05;CHF;-4335.9872
TechnoCoins;2023-09-23 19:27:46;MXN;-46340.7199
BandsofBits*;2023-09-23 19:29:49;TWD;-208553.5443
CentSecurity;2023-09-23 19:30:45;ETC;151.8385
Coinaro;2023-09-23 19:39:32;NZD;-7983.1947
ExpeditedExchange;2023-09-23 19:45:39;HNT;810.0539
CryptoSly;2023-09-23 19:47:36;NOK;78534.1917
BonzaiCrypto;2023-09-23 19:53:21;SGD;-13479.5251
SatoshiStaff;2023-09-23 20:02:37;KRW;-3094669.3749
LiabilityLedger;2023-09-23 20:06:24;DKK;23110.5254
CryptoGrizzly;2023-09-23 20:09:20;IMX;1752.2718
Cryptowall;2023-09-23 20:13:00;FTM;9062.0893
CryptoCreed;2023-09-23 20:22:37;SEK;32274.8919
MidasMoney;2023-09-23 20:28:01;GBP;-4415.0423
Lizzys;2023-09-23 20:36:09;PLN;10073.7165
CaminoCoin;2023-09-23 20:44:19;NOK;6946.6183
CryptoFetch;2023-09-23 20:44:28;MXN;-72891.7003
Cash4Crypto;2023-09-23 20:46:33;SGD;-10437.3829
CurrencyN;2023-09-23 20:54:28;NOK;-23449.5208
CryptoMask;2023-09-23 21:03:14;GBP;-7908.4642
CryptoSly;2023-09-23 21:12:01;CHF;-4051.5947
ShrewdCrypto;2023-09-23 21:17:35;WOO;-19597.3600
CryptoClamp;2023-09-23 21:20:36;XTZ;4960.5655
CarbonColdwallet;2023-09-23 21:24:50;SEI;4699.8936
